id,name,type
3447,白鲫鱼膏,方剂
3448,白姜散,方剂
3449,白僵蚕散,方剂
3450,白僵蚕丸,方剂
3451,白降丹,方剂
3452,白降雪散,方剂
3453,白胶汤,方剂
3454,白芥丸,方剂
3455,白芥子散,方剂
3456,白芥子丸,方剂
3457,白金丹,方剂
3458,白金散,方剂
3459,白金丸,方剂
3460,白菊花酒,方剂
3461,白珏膏,方剂
3462,白蜡膏,方剂
3463,白蔹膏,方剂
3464,白蔹散,方剂
3465,白蔹汤,方剂
3466,白蔹丸,方剂
3467,白灵药,方剂
3468,白苓汤,方剂
3469,白龙膏,方剂
3470,白龙骨丸,方剂
3471,白龙散,方剂
3472,白龙丸,方剂
3473,白螺壳丸,方剂
3474,白绿丹,方剂
3475,白马茎丸,方剂
3476,白马蹄散,方剂
3477,白茅根散,方剂
3478,白茅根汤,方剂
3479,白茅汤,方剂
3480,白梅散,方剂
3481,白蜜膏,方剂
3482,白蜜饮,方剂
3483,白末药,方剂
3484,白藕汁膏,方剂
3485,白平安散,方剂
3486,白牵牛散,方剂
3487,白前散,方剂
3488,白前汤,方剂
3489,白前丸,方剂
3490,白清胃散,方剂
3491,白散,方剂
3492,白散子,方剂
3493,白痧散,方剂
3494,白芍汤,方剂
3495,白芍药散,方剂
3496,白芍药汤,方剂
3497,白芍药丸,方剂
3498,白蛇浸酒,方剂
3499,白神丸,方剂
3500,白石方,方剂
3501,白石英散,方剂
3502,白石英汤,方剂
3503,白石英丸,方剂
3504,白石脂散,方剂
3505,白石脂丸,方剂
3506,白术八宝丹,方剂
3507,白术八味散,方剂
3508,白术半夏丸,方剂
3509,白术半真汤,方剂
3510,白术当归汤,方剂
3511,白术丁香散,方剂
3512,白术茯苓汤,方剂
3513,白术甘草散,方剂
3514,白术膏,方剂
3515,白术煎丸,方剂
3516,白术酒,方剂
3517,白术木香散,方剂
3518,白术圣散子,方剂
3519,白术石斛汤,方剂
3520,白术四逆汤,方剂
3521,白术汤,方剂
3522,白术丸,方剂
3523,白术饮,方剂
3524,白通汤,方剂
3525,白头翁煎,方剂
3526,白头翁酒,方剂
3527,白头翁散,方剂
3528,白头翁丸,方剂
3529,白丸散,方剂
3530,白丸子,方剂
3531,白丸子散,方剂
3532,白薇煎,方剂
3533,白薇散,方剂
3534,白薇汤,方剂
3535,白薇丸,方剂
3536,白芜荑散,方剂
3537,白物神散,方剂
3538,白鲜皮酊,方剂
3539,白鲜皮酒,方剂
3540,白鲜皮散,方剂
3541,白鲜皮汤,方剂
3542,白鲜汤,方剂
3543,白杏膏,方剂
3544,白雪糕,方剂
3545,白牙散,方剂
3546,白眼药,方剂
3547,白羊肉汤,方剂
3548,白羊肾羹,方剂
3549,白杨皮汤,方剂
3550,白药,方剂
3551,白药散,方剂
3552,白药丸,方剂
3553,白银锭子,方剂
3554,白英丸,方剂
3555,白油膏,方剂
3556,白鱼膏,方剂
3557,白玉膏,方剂
3558,白玉散,方剂
3559,白玉丸,方剂
3560,白玉药,方剂
3561,白云平安散,方剂
3562,白泽丸,方剂
3563,白芷膏,方剂
3564,白芷散,方剂
3565,白芷汤,方剂
3566,白芷丸,方剂
3567,白芷洗方,方剂
3568,百杯丸,方剂
3569,百倍丸,方剂
3570,百补构精丸,方剂
3571,百补济阴丸,方剂
3572,百补汤,方剂
3573,百补丸,方剂
3574,百部膏,方剂
3575,百部酒,方剂
3576,百部散,方剂
3577,百部丸,方剂
3578,百部洗剂,方剂
3579,百草霜散,方剂
3580,百草丸,方剂
3581,百草血余棕灰散,方剂
3582,百点竹,方剂
3583,百二散,方剂
3584,百粉丸,方剂
3585,百合丹,方剂
3586,百合地黄汤,方剂
3587,百合固金汤,方剂
3588,百合桔梗鸡子汤,方剂
3589,百合散,方剂
3590,百合汤,方剂
3591,百合囤金汤,方剂
3592,百合丸,方剂
3593,百合饮,方剂
3594,百合粥,方剂
3595,百花拔毒散,方剂
3596,百花定喘丸,方剂
3597,百花膏,方剂
3598,百花煎,方剂
3599,百花煎丸,方剂
3600,百花散,方剂
3601,百花丸,方剂
3602,百解散,方剂
3603,百丸,方剂
3604,百灵丹,方剂
3605,百灵散,方剂
3606,百寿丸,方剂
3607,百顺膏,方剂
3608,百岁酒,方剂
3609,百损丸,方剂
3610,百五散,方剂
3611,百消丸,方剂
3612,百效汤,方剂
3613,百效臀,方剂
3614,百效丸,方剂
3615,百效饮,方剂
3616,百药煎散,方剂
3617,百药散,方剂
3618,百应丸,方剂
3619,百中饮,方剂
3620,百子附归丸,方剂
3621,百子建中丸,方剂
3622,柏艾饮,方剂
3623,柏白皮汤,方剂
3624,柏蛤散,方剂
3625,柏胶丸,方剂
3626,柏连散,方剂
3627,柏莲汤,方剂
3628,柏棉饮,方剂
3629,柏墨散,方剂
3630,柏皮膏,方剂
3631,柏皮散,方剂
3632,柏皮汤,方剂
3633,柏仁散,方剂
3634,柏霜散,方剂
3635,柏叶散,方剂
3636,柏叶汤,方剂
3637,柏叶丸,方剂
3638,柏叶洗方,方剂
3639,柏枝油,方剂
3640,柏子建宫丸,方剂
3641,柏子仁酒,方剂
3642,柏子仁散,方剂
3643,柏子仁汤,方剂
3644,柏子仁丸,方剂
